,course_title,course_organization,course_URL,course_rating,course_difficulty,course_duration,course_review_count,course_skills
90,ITIL 4 Exam Preparation,LearnQuest,/learn/itil-4-exam-preparation,4.7,Mixed,1 - 3 Months,936,"Organizational Development, Leadership and Management"
91,Introduction to Social Media Marketing,Meta,/learn/social-media-marketing-introduction,4.8,Beginner,1 - 3 Months,12400,"Communication, Marketing, Digital Marketing, Social Media, Media Strategy & Planning, Advertising, Entrepreneurship, Marketing Management"
92,Convolutional Neural Networks,DeepLearning.AI,/learn/convolutional-neural-networks,4.9,Intermediate,1 - 4 Weeks,41800,"Artificial Neural Networks, Computer Vision, Machine Learning, Applied Machine Learning, Deep Learning, Machine Learning Software, Machine Learning Algorithms, Network Model, Tensorflow, Network Architecture, Human Learning"
93,AI Fundamentals for Non-Data Scientists,University of Pennsylvania,/learn/wharton-ai-fundamentals-non-data-scientists,4.7,Mixed,1 - 4 Weeks,203,"Machine Learning, Machine Learning Algorithms, Artificial Neural Networks, Data Analysis, Deep Learning, Human Learning, Big Data"
94,Managing Emotions in Times of Uncertainty & Stress,Yale University,/learn/managing-emotions-uncertainty-stress,4.8,Beginner,1 - 3 Months,2700,Emotional Intelligence
95,Get Started with Python,Google,/learn/get-started-with-python,4.8,Advanced,1 - 3 Months,606,"Computer Programming, Python Programming"
96,Cybersecurity for Everyone,"University of Maryland, College Park",/learn/cybersecurity-for-everyone,4.7,Beginner,1 - 3 Months,1100,"Cyberattacks, Human Computer Interaction, Network Security, Security Engineering, Security Strategy, Computer Security Models, Leadership and Management, Risk Management, Software Security, Computer Networking"
97,Understanding the Brain: The Neurobiology of Everyday Life,The University of Chicago,/learn/neurobiology,4.9,Beginner,1 - 3 Months,2700,
98,Structuring Machine Learning Projects,DeepLearning.AI,/learn/machine-learning-projects,4.8,Beginner,1 - 4 Weeks,49400,"Applied Machine Learning, Data Analysis, Data Model, Deep Learning, Exploratory Data Analysis, Machine Learning, Machine Learning Algorithms, Process Analysis, Strategy, Computer Vision, Human Learning"
99,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",DeepLearning.AI,/learn/introduction-tensorflow,4.8,Intermediate,1 - 4 Weeks,18900,"Machine Learning, Tensorflow, Artificial Neural Networks, Computer Programming, Machine Learning Algorithms, Deep Learning, Machine Learning Software, Applied Machine Learning, Human Learning, Algorithms, Computer Vision"
